employee_id,first_name,last_name,email,phone_number,hire_date,resignation_date,job_id,salary,commission_pct,manager_id,department_id,manager_name,manager_lastName,COUNTRY_ID
10,John,Macvan,SKING,515.123.4567,1987-06-17,NULL,AD_PRES,24000.00,500.00,101,90,Samson,Christian,US
11,Mark,Desuza,NKOCHHAR,515.123.4568,1989-09-21,2003-12-04,AD_VP,17000.00,NULL,102,90,Josh,Austin,US
12,Luke,"De Haan",LDEHAAN,515.123.4569,1993-01-13,NULL,AD_VP,17000.00,1000.00,103,90,Yanson,Macvan,US
13,Mark,Hunold,AHUNOLD,590.423.4567,2001-12-01,NULL,IT_PROG,9000.00,NULL,104,60,James,Christian,CA
14,Peter,Ernst,BERNST,590.423.4568,2000-04-08,NULL,IT_PROG,6000.00,500.00,105,60,Paul,Lorentz,CA
15,David,Austin,DAUSTIN,590.423.4569,2013-08-01,NULL,IT_PROG,4800.00,NULL,106,60,Paul,Faviet,US
16,Samson,Pataballa,VPATABAL,590.423.4560,2019-05-12,NULL,IT_PROG,4800.00,NULL,107,60,null,null,CA
17,Jacob,Lorentz,DLORENTZ,590.423.5567,2000-01-30,NULL,IT_PROG,4200.00,1000.00,108,60,Zion,Stoman,IT
18,Nancy,Greenberg,NGREENBE,515.124.4569,2006-12-01,NULL,FI_MGR,12000.00,NULL,109,100,Brock,Lesner,JP
19,Daniel,Faviet,DFAVIET,515.124.4169,2007-08-30,NULL,FI_ACCOUNT,9000.00,NULL,110,100,null,null,JP
20,John,Chen,JCHEN,515.124.4269,1999-10-20,NULL,FI_ACCOUNT,8200.00,NULL,1084,100,Juda,Huston,US
21,Abba,Sciarra,ISCIARRA,515.124.4369,1997-09-30,NULL,FI_ACCOUNT,7700.00,NULL,1085,100,Job,Lemant,US
22,Hannah,Urman,JMURMAN,515.124.4469,2011-12-15,NULL,FI_ACCOUNT,7800.00,NULL,1086,100,Adam,Zampa,US
23,Anna,Popp,LPOPP,515.124.4567,2003-04-08,NULL,FI_ACCOUNT,6900.00,NULL,1088,100,Thomas,Brokes,US
24,Sara,Raphaely,DRAPHEAL,515.127.4561,2005-10-30,NULL,PU_MAN,11000.00,NULL,1007,20,Stark,Taylor,CA
25,Alexander,Khoo,AKHOO,515.127.4562,2017-11-01,NULL,PU_CLERK,3100.00,NULL,1149,30,James,John,CA
26,Shelli,"Johna' ubrown",SBAIDA,515.127.4563,2010-05-10,NULL,SL_SALES,2900.00,2000.00,1141,30,Max,Christian,CA
27,Sigal,"Paula' uSmith",STOBIAS,515.127.4564,2000-01-04,NULL,PU_CLERK,2800.00,NULL,1142,30,Ronel,Macvan,CA
28,Bob,Himuro,GHIMURO,515.127.4565,2010-08-04,NULL,SL_SALES,2600.00,500.00,1143,30,Saffron,Christian,MX
29,Mitchell,Marsh,KCOLMENA,515.127.4566,2015-10-01,NULL,PU_CLERK,2500.00,2000.00,1145,30,Elhanan,Christian,AU
30,Matthew,Weiss,MWEISS,650.123.1234,2015-08-10,NULL,ST_MAN,8000.00,NULL,1006,50,Alex,Christian,BR
31,Trenna,Rajs,DJFJGDH,650.163.1734,2010-05-01,NULL,ST_CLERK,15000.00,NULL,11412,30,stark,Sam,NL
32,Susan,Higgins,ADSGJDF,650.233.1232,2012-04-01,NULL,HR_REP,25000.00,NULL,11444,40,Alex,Dox,CH
33,Sam,jeff,AKHDKSH,650.123.1224,2013-07-01,NULL,SL_SALES,15000.00,2000.00,11421,80,JOB,John,NL
